filename,num_cycles_op,avg_v_min_target_V,avg_v_max_target_V,avg_age_temp,avg_age_chg_rate,avg_age_dischg_rate,SOC Window Min,SOC Window Max
cell_eocv2_P018_1_S01_C06.csv,126,2.5288785431512273,4.1867248614410135,0.0,0.33,1.0,0,100
cell_eocv2_P035_1_S08_C04.csv,349,3.225045896328294,4.190018142548597,10.0,1.0,1.0,10,100
cell_eocv2_P053_1_S15_C08.csv,423,2.525799661399548,4.187108051166291,40.0,0.33,0.33,0,100
cell_eocv2_P046_3_S14_C06.csv,1373,3.2277116108949415,4.191463252918289,25.0,0.33,1.0,10,100
cell_eocv2_P063_3_S18_C05.csv,990,3.2385424188286476,4.090698228988659,40.0,1.0,1.0,10,90
cell_eocv2_P038_2_S07_C07.csv,906,3.2305206034482765,4.089816350574711,10.0,0.33,1.0,10,90
cell_eocv2_P050_2_S11_C07.csv,1386,3.230468920200515,4.089631675924671,25.0,0.33,1.0,10,90
cell_eocv2_P048_3_S15_C00.csv,398,3.2271693476318135,4.190027882037533,25.0,1.67,1.0,10,100
cell_eocv2_P056_1_S16_C00.csv,455,2.51396899408284,4.193911952662723,40.0,1.6700000000000002,1.0,0,100
cell_eocv2_P054_3_S19_C05.csv,531,2.5163738822487827,4.19181655599823,40.0,0.33,1.0,0,100
cell_eocv2_P051_1_S10_C08.csv,1249,3.2381950000000006,4.090746167800454,25.0,1.0,1.0,10,90
cell_eocv2_P039_2_S06_C05.csv,731,3.2343128451753027,4.090161960905987,10.0,1.0,1.0,10,90
cell_eocv2_P036_3_S10_C00.csv,70,3.2028857855361594,4.181238653366584,10.0,1.67,1.0,10,100
cell_eocv2_P023_1_S03_C04.csv,98,3.2111686567164184,4.185218763326227,0.0,1.0,1.0,10,100
cell_eocv2_P059_1_S15_C06.csv,786,3.233319943932719,4.1936802563075695,40.0,1.0,1.0,10,100
cell_eocv2_P033_3_S09_C08.csv,655,3.2224778307756115,4.189501824968893,10.0,0.33,0.33,10,100
cell_eocv2_P060_1_S15_C03.csv,808,3.232699791840133,4.1934303080766036,40.0,1.6699999999999997,1.0,10,100
cell_eocv2_P051_2_S11_C05.csv,1413,3.238351662125341,4.090639112495134,25.0,1.0,1.0,10,90
cell_eocv2_P040_3_S08_C01.csv,317,3.233554260582738,4.090398020890599,10.0,1.6700000000000002,1.0,10,90
cell_eocv2_P032_2_S07_C00.csv,51,2.5486351063829784,4.175417021276596,10.0,1.67,1.0,0,100
cell_eocv2_P030_2_S08_C05.csv,126,2.5221012596899226,4.189923837209303,10.0,0.33000000000000007,1.0,0,100
cell_eocv2_P017_2_S04_C07.csv,131,2.5317634333565944,4.185486950453595,0.0,0.33000000000000007,0.33000000000000007,0,100
cell_eocv2_P059_2_S18_C04.csv,874,3.2344245083758194,4.193894209759652,40.0,1.0,1.0,10,100
cell_eocv2_P018_3_S04_C05.csv,120,2.5278964035087723,4.187319561403509,0.0,0.33,1.0,0,100
cell_eocv2_P025_1_S01_C09.csv,770,3.225404317941486,4.089180648572436,0.0,0.33000000000000007,0.33000000000000007,10,90
cell_eocv2_P058_2_S18_C06.csv,866,3.227216047867444,4.191224424670145,40.0,0.32999999999999996,1.0,10,100
cell_eocv2_P027_2_S02_C05.csv,347,3.229283944037308,4.089505929380413,0.0,1.0,1.0,10,90
cell_eocv2_P024_2_S04_C00.csv,40,3.1746786956521746,4.169859130434784,0.0,1.67,1.0,10,100
cell_eocv2_P047_2_S14_C04.csv,1156,3.2344393939393936,4.193953904003539,25.0,1.0,1.0,10,100
cell_eocv2_P025_3_S03_C09.csv,768,3.2250025273346474,4.08913264025811,0.0,0.33,0.33,10,90
cell_eocv2_P024_1_S01_C01.csv,36,3.1607268656716414,4.165510447761193,0.0,1.67,1.0,10,100
cell_eocv2_P045_1_S12_C08.csv,1221,3.218748835631924,4.1880323309970615,25.0,0.33,0.33,10,100
cell_eocv2_P055_3_S17_C04.csv,454,2.5140009227929867,4.1931534604737015,40.0,1.0,1.0,0,100
